login,passwd,age  | mysql -u batch -p -> use batchTest ; drop schema batchTest; create schema batchTest;
Harrell,516,45
Collins,731,80
Salinas,111,2
Peterson,434,53
Daniels,713,74
Joyner,364,52
Zimmerman,610,29
Salazar,767,69
Ryan,769,87
Mclean,220,4
Alvarado,546,10
Sexton,141,86
Rivas,617,5
Rosales,991,w
Ferrell,904,84
Davis,659,93
Baker,521,38
Gilbert,172,78
Barton,501,50
Woods,342,50
Jarvis,553,73
Le,542,44
Stokes,414,17
Montoya,618,26
Garcia,245,12
Knowles,327,28
Newton,755,60
Harrell,727,72
Hendricks,620,35
Huff,952,85
Conner,359,78
Melton,136,44
Frye,683,37
Palmer,359,66
Solis,460,100
Hood,397,58
Melton,613,50
Stanton,960,59
Ratliff,164,64s
Ramirez,382,90
Mcneil,181,70
Ware,600,29
Curry,413,74
Patton,687,75
Spence,591,59
Scott,317,57
Hendricks,347,100
Wolf,113,61
Berry,379,30
Mitchell,737,46
Douglas,345,32
Russo,821,36
Emerson,280,38
Montgomery,648,34
Wiley,439,6
Hill,414,65
Parrish,865,12
Nieves,195,72
Cleveland,142,10
Stewart,485,10
Fox,147,88
Molina,390,45
Deleon,510,76
Gaines,720,86
Henry,639,32
Washington,860,66
Fulton,117,55
Sexton,252,57
Little,820,49
Mills,171,10
Scott,524,4
Herman,890,28
Cooper,660,100
Olsen,826,85
Casey,577,69
Martinez,252,90
Osborn,143,83
Hayden,814,78
Macias,255,58
Fletcher,411,31
Moreno,551,22
Waller,489,20
Gill,232,75
Jackson,720,6
Cantu,137,19
Anderson,561,55
Castro,134,49s
Fischer,892,76
Sears,645,70
Woodward,166,68
Livingston,377,50
Barry,682,88
Francis,446,18
Adams,776,79
Oneil,402,15
Cervantes,974,2
Morrison,637,7
Harper,409,96
Burke,227,96
Lowery,457,80
